time angle_scaled angular_speed_error_scaled linear_speed_error_scaled left_speed right_speed weg_extension target_idx x y z l r w
0.005 0.125 0 0.0204305 -20 20 0 0 0 0.0497548 0 0 1 0
0.1 0.168054 0.0192568 0.200715 -20 20 0 0 1.28321e-17 0.0484113 -5.05717e-18 0 1 0
0.2 0.29108 0.033676 0.373755 -20 20 0 0 4.95254e-17 0.0414205 -1.92585e-17 0 1 0
0.3 0.391985 0.0963305 0.292844 -20 20 0 0 1.62685e-17 0.055269 1.41072e-16 0 1 0
0.4 0.486567 0.148356 0.435895 -20 20 0 0 2.50165e-16 0.0466702 3.43694e-16 0 1 0
0.5 0.579282 0.187345 0.519269 -20 20 0 0 1.15625e-15 0.0470881 5.37011e-16 0 1 0
0.6 0.687112 0.176072 0.426504 -20 20 0 0 2.27124e-15 0.0566254 -2.81352e-15 0 1 0
0.7 0.795705 0.239265 0.631916 -5.02948 20 0 0 4.58848e-16 0.0386424 -7.69111e-15 0.374263 1 0
0.8 0.871852 0.193012 0.66407 6.77685 20 0 0 -9.46047e-06 0.0620476 3.60383e-06 0.669421 1 0
0.9 0.934454 0.200812 0.850654 16.8239 20 0 0 -0.00907418 0.0401538 0.0227688 0.920597 1 0
1 0.949691 0.153791 1.04719 19.0578 20 0 0 -0.0243623 0.0339444 0.0644184 0.976444 1 0
1.105 0.964456 0.146491 1.24389 20 20 0 0 -0.0569826 0.0464375 0.109854 1 1 0
1.205 0.970286 0.137684 1.46521 20 20 0 0 -0.0959128 0.0494037 0.167451 1 1 0
1.305 0.982219 0.123938 1.62834 20 20 0 0 -0.13003 0.0333733 0.212217 1 1 0
1.405 0.988589 0.114146 1.76558 20 20 0 0 -0.177559 0.0481386 0.26048 1 1 0
1.505 0.993534 0.128335 1.82656 20 20 0 0 -0.210656 0.0421274 0.294988 1 1 0
1.605 0.975456 0.128204 1.87794 20 20 0 0 -0.250617 0.0582804 0.32875 1 1 0
1.705 0.949781 0.124485 1.91142 19.3111 20 0 0 -0.295011 0.038707 0.377349 0.982777 1 0
1.805 0.920064 0.1321 1.87527 14.632 20 0 0 -0.332485 0.0474843 0.42995 0.865799 1 0
1.905 0.881258 0.141932 1.80154 8.5087 20 0 0 -0.361866 0.0440549 0.47182 0.712718 1 0
2.005 0.847783 0.112383 1.75917 3.01665 20 0 0 -0.386426 0.0408118 0.511351 0.575416 1 0
2.105 0.847929 0.124237 1.66204 3.06248 20 0 0 -0.416067 0.035897 0.539562 0.576562 1 0
2.205 0.804787 0.146339 1.53479 -3.70179 20 0 0 -0.449646 0.0344511 0.559953 0.407455 1 0
2.305 0.807186 0.175379 1.37283 -3.23049 20 0 1 -0.475686 0.0311439 0.568053 0.419238 1 0
2.405 0.566283 0.180748 1.23847 -20 20 0 1 -0.495283 0.0337946 0.56525 0 1 0
2.505 0.627653 0.275106 0.976575 -20 20 0 1 -0.495769 0.0355196 0.559922 0 1 0
2.605 0.687879 0.326672 0.807058 -20 20 0 1 -0.492299 0.0329076 0.554679 0 1 0
2.705 0.768939 0.308838 0.706495 -8.83055 20 0 1 -0.483635 0.0343667 0.554766 0.279236 1 0
2.805 0.854905 0.25254 0.711453 4.45985 20 0 1 -0.465599 0.0362266 0.542758 0.611496 1 0
2.905 0.908051 0.195423 0.881501 12.6261 20 0 1 -0.434593 0.0363459 0.525473 0.815652 1 0
3.005 0.931101 0.157235 1.06819 16.1436 20 0 1 -0.39734 0.0330525 0.504117 0.90359 1 0
3.105 0.934416 0.136742 1.2823 16.6512 20 0 1 -0.353084 0.0369943 0.484973 0.916281 1 0
3.205 0.937342 0.115328 1.45501 17.0725 20 0 1 -0.301869 0.0366336 0.465095 0.926813 1 0
3.305 0.941674 0.087048 1.53019 17.6304 20 0 1 -0.247703 0.037004 0.448671 0.94076 1 0
3.405 0.946129 0.0691057 1.55407 18.2435 20 0 1 -0.191656 0.0372448 0.436147 0.956088 1 0
3.505 0.945062 0.0547555 1.65296 18.0383 20 0 1 -0.139506 0.0386759 0.419835 0.950957 1 0
3.605 0.946717 0.0421206 1.70502 18.2519 20 0 1 -0.0865343 0.038542 0.409828 0.956298 1 0
3.705 0.933233 0.0657742 1.7782 16.288 20 0 1 -0.0274929 0.0400355 0.394678 0.907199 1 0
3.805 0.911738 0.0774486 1.75724 12.9416 20 0 1 0.0216317 0.040033 0.378185 0.823539 1 0
