time angle_scaled angular_speed_error_scaled linear_speed_error_scaled left_speed right_speed weg_extension target_idx x y z state
0.005 0.125 0 0.0204305 -17.9749 13.828 0.00253138 0 0 0.0497548 0 right
0.1 0.161756 0.0156682 0.14329 -16.5924 13.828 0.00425952 0 0.00216696 0.0455293 0.00113834 right
0.2 0.266273 0.0270699 0.255703 -15.3274 13.828 0.00584072 0 0.00912696 0.0324995 0.00280155 right
0.3 0.332001 0.0952229 0.32035 -14.6 13.828 0.00675004 0 0.0148433 0.0378862 0.00395143 right
0.4 0.403925 0.126531 0.304718 -14.7759 -14.7759 0.00653016 0 0.00791903 0.0449466 -0.00117514 forward
0.5 0.42902 0.115721 0.282581 -15.025 13.828 0.00621879 0 -0.0020713 0.0444696 0.0236972 right
0.6 0.467042 0.11794 0.273994 -15.1216 -15.1216 0.00609799 0 -0.0153041 0.0458416 0.0500608 forward
0.7 0.504849 0.0892109 0.213696 -15.8001 -15.8001 0.00524985 0 -0.0234007 0.0399822 0.0663031 forward
0.8 0.505988 0.0980695 0.233684 -15.5752 -15.5752 0.005531 0 -0.0565993 0.0374084 0.0958378 forward
0.9 0.490035 0.0841877 0.258463 -15.2964 -15.2964 0.00587954 0 -0.0951098 0.0408642 0.131862 forward
1 0.481352 0.0904673 0.262011 -15.2564 -15.2564 0.00592945 0 -0.12885 0.0364814 0.174097 forward
1.105 0.477617 0.0811869 0.252954 -15.3584 -15.3584 0.00580204 0 -0.159524 0.0365676 0.211507 forward
1.205 0.462943 0.069246 0.21543 -15.7806 -15.7806 0.00527424 0 -0.192691 0.0390915 0.252848 forward
1.305 0.46061 0.0723339 0.206136 -15.8852 -15.8852 0.0051435 0 -0.221522 0.0437681 0.29019 forward
1.405 0.465084 0.0852982 0.225254 -15.6701 -15.6701 0.00541242 0 -0.253734 0.0441958 0.328477 forward
1.505 0.462787 0.0832552 0.261323 -15.2642 -15.2642 0.00591978 0 -0.290666 0.0409241 0.367637 forward
1.605 0.437244 0.0646757 0.294935 -14.886 13.828 0.00639255 0 -0.32696 0.0386641 0.414147 right
1.705 0.467979 0.0809177 0.316966 -14.638 -14.638 0.00670244 0 -0.338219 0.0367423 0.427169 forward
1.805 0.467072 0.0708957 0.251979 -15.3693 -15.3693 0.00578834 0 -0.377571 0.0426778 0.454599 forward
1.905 0.44267 0.0659307 0.214399 -15.7922 13.828 0.00525974 0 -0.420916 0.0391865 0.480676 right
2.005 0.466704 0.122059 0.237968 -15.527 -15.527 0.00559126 1 -0.453718 0.0402619 0.492982 forward
2.105 0.972411 0.105838 0.247187 11.084 -15.4233 0.00572093 1 -0.486166 0.0395367 0.503775 left
2.205 0.91758 0.109287 0.30216 11.084 -14.8047 0.00649418 1 -0.506933 0.0380914 0.514063 left
2.305 0.860989 0.154818 0.238939 11.084 -15.5161 0.00560491 1 -0.510586 0.0383065 0.522803 left
2.405 0.8154 0.224639 0.181848 11.084 -15.677 0.00540377 1 -0.500982 0.042174 0.52289 left
2.505 0.771169 0.245011 0.162574 11.084 -15.4477 0.00569033 1 -0.49407 0.0496757 0.527565 left
2.605 0.692087 0.188556 0.285284 11.084 -14.9946 0.0062568 1 -0.509613 0.0411287 0.522654 left
2.705 0.611828 0.181865 0.236101 11.084 -15.548 0.005565 1 -0.515165 0.0402843 0.526068 left
2.805 0.54728 0.190461 0.241902 -15.4827 -15.4827 0.00564659 1 -0.513187 0.041986 0.531625 forward
2.905 0.499382 0.153982 0.212394 -15.8148 -15.8148 0.00523153 1 -0.501421 0.0343624 0.538549 forward
3.005 0.491909 0.131091 0.188826 -16.08 -16.08 0.00490003 1 -0.448501 0.0416786 0.538658 forward
3.105 0.490943 0.098509 0.183581 -16.139 -16.139 0.00482625 1 -0.393525 0.0372387 0.532944 forward
3.205 0.488962 0.0839524 0.143142 -16.5941 -16.5941 0.00425743 1 -0.338224 0.0368791 0.52703 forward
3.305 0.480138 0.0699763 0.187243 -16.0978 -16.0978 0.00487776 1 -0.279825 0.0422424 0.51796 forward
3.405 0.483827 0.0525879 0.194129 -16.0203 -16.0203 0.00497462 1 -0.224555 0.0341387 0.511123 forward
3.505 0.487359 0.0419716 0.150461 -16.5117 -16.5117 0.00436039 1 -0.169974 0.0440486 0.504644 forward
3.605 0.485667 0.0489987 0.190865 -16.057 -16.057 0.00492871 1 -0.121172 0.0516455 0.497971 forward
3.705 0.485642 0.0385553 0.172062 -16.2686 -16.2686 0.00466422 1 -0.0672723 0.0425156 0.494863 forward
3.805 0.480397 0.0292895 0.147276 -16.5475 -16.5475 0.00431558 1 -0.00839582 0.0480789 0.489671 forward
3.905 0.475718 0.0287898 0.132374 -16.7152 -16.7152 0.00410598 1 0.0374388 0.0511815 0.486864 forward
4.005 0.483087 0.037797 0.230667 -15.6092 -15.6092 0.00548856 1 0.0960861 0.0426964 0.488658 forward
4.105 0.485533 0.0305482 0.185203 -16.1207 -16.1207 0.00484907 1 0.165676 0.0474178 0.487711 forward
4.205 0.482535 0.0418649 0.187084 -16.0996 -16.0996 0.00487552 1 0.212601 0.0454232 0.486892 forward
4.305 0.468263 0.0439793 0.148227 -16.5368 -16.5368 0.00432895 1 0.268 0.0374023 0.480869 forward
4.405 0.457885 0.0370334 0.168789 -16.3055 -16.3055 0.00461818 1 0.319323 0.0466101 0.482054 forward
4.505 0.432229 0.0557403 0.144089 -16.5834 13.828 0.00427076 1 0.376131 0.0451304 0.467142 right
4.605 0.44724 0.130332 0.139291 -16.6374 -16.6374 0.00420327 1 0.410436 0.0386385 0.46727 forward
4.705 0.433917 0.105578 0.121283 -16.84 13.828 0.00394997 1 0.448488 0.0505514 0.465008 right
4.805 0.309637 0.157781 0.211873 -15.8206 13.828 0.00522421 2 0.49669 0.0381027 0.47733 right
4.905 0.954966 0.234561 0.190863 -15.5653 -15.5653 0.00554334 2 0.499997 0.0619124 0.467868 forward
5.005 0.968359 0.201023 0.155824 11.084 -15.9427 0.00507159 2 0.529589 0.0647321 0.483412 left
5.105 0.942348 0.237421 0.22843 11.084 -15.5332 0.00558356 2 0.583786 0.0499886 0.48456 left
5.205 0.877542 0.236374 0.239867 11.084 -15.5056 0.00561797 2 0.606186 0.0419666 0.494849 left
5.305 0.802781 0.202936 0.245055 11.084 -15.4472 0.00569094 2 0.622211 0.0381004 0.504112 left
5.405 0.72429 0.213892 0.213939 11.084 -15.7974 0.00525327 2 0.636422 0.0380911 0.509078 left
5.505 0.665095 0.213702 0.229716 11.084 -15.6199 0.00547519 2 0.644594 0.0414609 0.501882 left
5.605 0.593189 0.21356 0.225845 -15.6634 -15.6634 0.00542074 2 0.650123 0.0371971 0.498517 forward
5.705 0.598086 0.177132 0.216008 11.084 -15.7741 0.00528237 2 0.637624 0.0436242 0.456162 left
