time angle_scaled angular_speed_error_scaled linear_speed_error_scaled left_speed right_speed weg_extension target_idx x y z state
0.005 0.125 0 0.0204442 -13.828 14.4552 0.00692404 0 0 0.0497548 0 right
0.1 0.159707 0.0135187 0.15783 -13.3748 13.3748 0.00827319 0 -0.000329278 0.0444663 -3.716e-05 right
0.2 0.259029 0.022487 0.29921 -12.263 12.263 0.00966157 0 -0.00132171 0.0289607 0.00197351 right
0.3 0.341498 0.0539016 0.294226 -12.3022 12.3022 0.00961262 0 0.00560593 0.0422215 -0.00865588 right
0.4 0.407654 0.0425548 0.354794 -11.8259 -11.8259 0.0102074 0 0.00223446 0.0397117 -0.00348448 forward
0.5 0.456511 0.0569208 0.295784 -12.29 -12.29 0.00962792 0 -0.0113209 0.0415085 0.0106475 forward
0.6 0.464168 0.0584806 0.270761 -12.4867 -12.4867 0.00938219 0 -0.0250746 0.0400407 0.0426481 forward
0.7 0.461298 0.050245 0.217005 -12.9095 -12.9095 0.0088543 0 -0.0450041 0.038456 0.079783 forward
0.8 0.451482 0.0576571 0.173054 -13.2551 -13.2551 0.00842269 0 -0.073459 0.0379227 0.118709 forward
0.9 0.456586 0.0502596 0.157092 -13.3806 -13.3806 0.00826594 0 -0.0957855 0.0394053 0.155062 forward
1 0.45249 0.0410745 0.151869 -13.4217 -13.4217 0.00821464 0 -0.119389 0.0402304 0.19666 forward
1.105 0.448453 0.0324878 0.143406 -13.4883 -13.4883 0.00813154 0 -0.146409 0.0381459 0.235281 forward
1.205 0.45386 0.0641673 0.126319 -13.6226 -13.6226 0.00796375 0 -0.176972 0.0432995 0.278054 forward
1.305 0.471323 0.0777087 0.153646 -13.4077 -13.4077 0.0082321 0 -0.210941 0.0512531 0.309817 forward
1.405 0.490518 0.0715328 0.191972 -13.1063 -13.1063 0.00860846 0 -0.250608 0.0534192 0.331968 forward
1.505 0.510437 0.0883618 0.182198 -13.1832 -13.1832 0.00851249 0 -0.286784 0.0725965 0.357418 forward
1.605 0.527834 0.144425 0.237226 -12.7505 -12.7505 0.00905287 0 -0.312543 0.0601741 0.375067 forward
1.705 0.558925 0.143314 0.185204 -13.1596 -13.1596 0.00854201 0 -0.333645 0.0551694 0.376783 forward
1.805 0.601138 0.14928 0.155024 -13.3969 -13.3969 0.00824563 0 -0.371653 0.0550665 0.384169 forward
1.905 0.633893 0.138297 0.141212 -13.5055 -13.5055 0.00811 0 -0.405029 0.0537354 0.384414 forward
2.005 0.679819 0.117112 0.150773 13.4303 -13.4303 0.00820389 0 -0.448516 0.0428219 0.388944 left
2.105 0.627705 0.136264 0.229643 12.8101 -12.8101 0.0089784 0 -0.460593 0.0357966 0.396485 left
2.205 0.58728 0.165177 0.20945 -12.9689 -12.9689 0.0087801 0 -0.480604 0.0475998 0.395074 forward
2.305 0.608977 0.135339 0.177421 -13.2208 -13.2208 0.00846558 0 -0.508311 0.0487952 0.407819 forward
2.405 0.695933 0.132229 0.162226 13.3403 -13.3403 0.00831635 1 -0.534127 0.0394712 0.443956 left
2.505 0.810319 0.207491 0.146421 12.9843 -12.9843 0.00876087 1 -0.540124 0.0429297 0.460605 left
2.605 0.754404 0.199317 0.221649 12.873 -12.873 0.0088999 1 -0.540928 0.039236 0.468022 left
2.705 0.694837 0.235282 0.251356 12.6393 -12.6393 0.00919163 1 -0.542634 0.0380031 0.471126 left
