time angle_scaled angular_speed_error_scaled linear_speed_error_scaled left_speed right_speed weg_extension target_idx x y z angle_norm
0.005 0.125 0 0.0204305 -20 10 0 0 0 0.0497548 0 -0.75
0.1 0.156606 0.0753598 0.0470249 -20 7.47152 0 0 -0.00116685 0.0388242 -0.00262078 -0.686788
0.2 0.224382 0.17955 0.0481809 -20 2.04946 0 0 0.00963718 0.0302038 -0.00242932 -0.551237
0.3 0.283917 0.166833 0.0621749 -20 -2.71336 0 0 0.0299455 0.0337753 0.00295413 -0.432166
0.4 0.31902 0.164495 0.0999489 -20 -5.52159 0 0 0.0437847 0.0325151 0.0136668 -0.36196
0.5 0.342367 0.167849 0.082609 -20 -7.38934 0 0 0.0539977 0.0329456 0.0449615 -0.315266
0.6 0.36696 0.169617 0.0926567 -20 -9.3568 0 0 0.0583858 0.0342451 0.0828158 -0.26608
0.7 0.39125 0.127538 0.102807 -20 -11.3 0 0 0.0503161 0.0306083 0.116871 -0.217499
0.8 0.410275 0.122205 0.087067 -20 -12.822 0 0 0.0323906 0.0303129 0.159043 -0.179449
0.9 0.429793 0.11392 0.0735438 -20 -14.3835 0 0 0.00655796 0.0323938 0.199292 -0.140414
1 0.447101 0.100464 0.0664244 -20 -15.7681 0 0 -0.0283277 0.0368001 0.237961 -0.105798
1.105 0.451753 0.077287 0.0819516 -20 -16.1402 0 0 -0.0678543 0.0392587 0.27555 -0.0964938
1.205 0.45426 0.0766791 0.0755646 -20 -16.3408 0 0 -0.100978 0.0389265 0.310262 -0.0914795
1.305 0.450555 0.062433 0.129611 -20 -16.0444 0 0 -0.139327 0.033877 0.34668 -0.0988906
1.405 0.473486 0.0590918 0.131047 -20 -17.8789 0 0 -0.184848 0.0408091 0.37316 -0.0530271
1.505 0.484618 0.0546619 0.131866 -20 -18.7695 0 0 -0.235243 0.0433203 0.40085 -0.0307634
1.605 0.486418 0.0490122 0.118276 -20 -18.9134 0 0 -0.282567 0.0389765 0.421105 -0.0271639
1.705 0.479182 0.0640265 0.0946986 -20 -18.3346 0 0 -0.343563 0.0448418 0.4518 -0.0416354
1.805 0.447707 0.0886376 0.174442 -20 -15.8166 0 0 -0.388924 0.0413385 0.474241 -0.104586
1.905 0.378306 0.121191 0.155541 -20 -10.2645 0 0 -0.43616 0.0527056 0.509035 -0.243389
2.005 0.254759 0.139045 0.138834 -20 -0.380686 0 1 -0.468714 0.041396 0.536944 -0.490483
2.105 0.915296 0.189272 0.195291 13.2237 -20 0 1 -0.495547 0.0341817 0.556508 0.830591
2.205 0.821382 0.210168 0.165922 5.71055 -20 0 1 -0.495262 0.0510012 0.540379 0.642764
2.305 0.742516 0.158718 0.279765 -0.59875 -20 0 1 -0.485808 0.0322041 0.551827 0.485031
2.405 0.661024 0.12393 0.21883 -7.11812 -20 0 1 -0.472462 0.0357396 0.578768 0.322047
2.505 0.616037 0.121533 0.246207 -10.717 -20 0 1 -0.443654 0.0325393 0.608623 0.232075
2.605 0.59358 0.0978363 0.235259 -12.5136 -20 0 1 -0.402464 0.0341846 0.633473 0.187159
2.705 0.58326 0.112169 0.189412 -13.3392 -20 0 1 -0.365356 0.0375413 0.64864 0.16652
2.805 0.580863 0.118049 0.232865 -13.5309 -20 0 1 -0.318956 0.0349567 0.664421 0.161727
2.905 0.57351 0.100245 0.223717 -14.1192 -20 0 1 -0.265914 0.034653 0.680958 0.14702
3.005 0.57098 0.0973519 0.19075 -14.3216 -20 0 1 -0.215512 0.0345864 0.690379 0.14196
3.105 0.561911 0.0869106 0.168108 -15.0471 -20 0 1 -0.162991 0.0378042 0.70071 0.123822
3.205 0.574933 0.0712113 0.132637 -14.0054 -20 0 1 -0.105236 0.0414424 0.700824 0.149866
3.305 0.53981 0.0572664 0.121759 -16.8152 -20 0 1 -0.0590498 0.0399571 0.707614 0.0796197
3.405 0.522225 0.0470968 0.127739 -18.222 -20 0 1 -0.0110865 0.0390517 0.702736 0.0444492
3.505 0.524781 0.0578164 0.126071 -18.0175 -20 0 1 0.0421871 0.0477462 0.689205 0.0495625
3.605 0.523355 0.0711846 0.0967806 -18.1316 -20 0 1 0.107251 0.0440104 0.668211 0.0467098
3.705 0.51725 0.0625831 0.106144 -18.62 -20 0 1 0.160343 0.0494146 0.654057 0.0345009
3.805 0.509206 0.055835 0.112545 -19.2635 -20 0 1 0.210156 0.0390582 0.640687 0.0184126
3.905 0.491948 0.102485 0.129271 -20 -19.3559 0 1 0.272573 0.0531404 0.607147 -0.0161036
4.005 0.472429 0.0957258 0.181502 -20 -17.7943 0 1 0.321606 0.0398986 0.588448 -0.055142
4.105 0.458395 0.0889193 0.212529 -20 -16.6716 0 1 0.35697 0.0524403 0.555266 -0.0832095
4.205 0.468474 0.0799678 0.176602 -20 -17.4779 0 1 0.414332 0.0397101 0.526615 -0.0630513
4.305 0.470303 0.0753422 0.140055 -20 -17.6242 0 2 0.469789 0.0423124 0.507421 -0.0593942
4.405 0.825795 0.0654125 0.144257 6.06362 -20 0 2 0.529165 0.0403576 0.484887 0.651591
4.505 0.82868 0.140079 0.202723 6.29439 -20 0 2 0.573032 0.0382371 0.462949 0.65736
4.605 0.786332 0.21346 0.161661 2.90653 -20 0 2 0.589736 0.0385253 0.455029 0.572663
4.705 0.734226 0.205669 0.144956 -1.2619 -20 0 2 0.605775 0.0336458 0.445988 0.468453
4.805 0.69214 0.198706 0.111152 -4.62877 -20 0 2 0.619765 0.0335164 0.419194 0.384281
4.905 0.65659 0.179877 0.108684 -7.47277 -20 0 2 0.625948 0.0314699 0.38942 0.313181
5.005 0.607465 0.148418 0.107936 -11.4028 -20 0 2 0.617444 0.0330925 0.349997 0.214931
5.105 0.572022 0.144159 0.0910784 -14.2382 -20 0 2 0.607652 0.0326842 0.308128 0.144045
5.205 0.562999 0.114961 0.101363 -14.9601 -20 0 2 0.582737 0.0319019 0.263826 0.125997
5.305 0.54277 0.0874021 0.10423 -16.5784 -20 0 2 0.557401 0.0333826 0.223262 0.0855407
5.405 0.535754 0.0842728 0.0869229 -17.1396 -20 0 2 0.522085 0.0346748 0.184317 0.0715088
5.505 0.54294 0.0885686 0.0724554 -16.5648 -20 0 2 0.485421 0.0415289 0.150296 0.0858808
5.605 0.546134 0.0902065 0.108364 -16.3093 -20 0 2 0.450549 0.0389188 0.10645 0.0922681
5.705 0.525914 0.0864126 0.150409 -17.9269 -20 0 2 0.408846 0.0386773 0.0642128 0.0518274
5.805 0.512067 0.0863591 0.166221 -19.0346 -20 0 2 0.371652 0.0422576 0.0289184 0.0241349
5.905 0.508916 0.0964057 0.186774 -19.2867 -20 0 2 0.321476 0.0411428 -0.00444441 0.0178325
6.005 0.526915 0.0813011 0.141079 -17.8468 -20 0 2 0.276159 0.0400171 -0.043795 0.0538307
6.105 0.529134 0.0613148 0.132008 -17.6693 -20 0 2 0.237153 0.0437783 -0.0846771 0.0582671
6.205 0.529993 0.0650107 0.108309 -17.6005 -20 0 2 0.192923 0.0377961 -0.120999 0.0599868
6.305 0.533067 0.0685209 0.0908664 -17.3547 -20 0 2 0.148091 0.0331918 -0.160165 0.0661333
6.405 0.537597 0.0683517 0.0818576 -16.9922 -20 0 2 0.106388 0.0343788 -0.19803 0.0751938
6.505 0.536623 0.0576199 0.109724 -17.0702 -20 0 2 0.0645751 0.0379671 -0.236547 0.0732451
6.605 0.538236 0.0449966 0.112048 -16.9411 -20 0 2 0.0225353 0.0381249 -0.269038 0.076472
6.705 0.531741 0.0413199 0.107133 -17.4607 -20 0 2 -0.0267689 0.0358398 -0.304304 0.0634823
6.805 0.525797 0.0342617 0.0853915 -17.9363 -20 0 2 -0.075425 0.038102 -0.334692 0.0515931
6.905 0.517977 0.0260499 0.0714553 -18.5618 -20 0 2 -0.122826 0.0432604 -0.358064 0.035954
7.005 0.511093 0.0206555 0.114754 -19.1126 -20 0 2 -0.174753 0.0383075 -0.381427 0.0221852
7.105 0.504388 0.0242332 0.105975 -19.6489 -20 0 2 -0.23112 0.0317539 -0.406227 0.00877682
7.205 0.506865 0.0189514 0.0950017 -19.4508 -20 0 2 -0.286454 0.0406875 -0.422724 0.0137309
7.305 0.50952 0.0171069 0.0865417 -19.2384 -20 0 2 -0.343003 0.0382493 -0.448312 0.0190398
7.405 0.530163 0.0237476 0.0724751 -17.587 -20 0 2 -0.394746 0.0362391 -0.4755 0.0603259
7.505 0.567567 0.0434722 0.0619101 -14.5946 -20 0 3 -0.444931 0.0383318 -0.498812 0.135134
7.605 0.0664913 0.0473284 0.0699381 -20 14.6807 0 3 -0.486994 0.0375908 -0.52507 -0.867017
7.705 0.108891 0.161169 0.0557314 -20 11.2887 0 3 -0.502614 0.0368268 -0.531308 -0.782218
