Angle,Linear Error,Angular Error,Left Speed,Right Speed,Weg Extension
0,0,0,0.126861,0.171789,0.509371
0,0,0.1,0.119988,0.206525,0.590006
0,0,0.2,0.113439,0.246197,0.666076
0,0,0.3,0.107204,0.290697,0.734386
0,0,0.4,0.101273,0.339617,0.793063
0,0,0.5,0.0956345,0.392218,0.841574
0,0,0.6,0.0902784,0.447445,0.880428
0,0,0.7,0.0851941,0.504,0.910763
0,0,0.8,0.0803708,0.560453,0.93398
0,0,0.9,0.0757979,0.615384,0.951478
0,0,1,0.071465,0.667522,0.964514
0,0.1,0,0.151537,0.161237,0.526026
0,0.1,0.1,0.143547,0.19434,0.606041
0,0.1,0.2,0.13591,0.232357,0.680746
0,0.1,0.3,0.12862,0.275269,0.747194
0,0.1,0.4,0.121665,0.322775,0.803797
0,0.1,0.5,0.115036,0.374245,0.850267
0,0.1,0.6,0.108724,0.428726,0.887275
0,0.1,0.7,0.102718,0.484992,0.916038
0,0.1,0.8,0.097008,0.541641,0.937976
0,0.1,0.9,0.0915828,0.597233,0.954466
0,0.1,1,0.086432,0.650435,0.966728
0,0.2,0,0.180022,0.151215,0.542624
0,0.2,0.1,0.170832,0.182709,0.62185
0,0.2,0.2,0.162019,0.219069,0.695066
0,0.2,0.3,0.153577,0.26036,0.759586
0,0.2,0.4,0.145498,0.30638,0.814105
0,0.2,0.5,0.137774,0.356612,0.858564
0,0.2,0.6,0.130398,0.410209,0.893776
0,0.2,0.7,0.123361,0.466027,0.921029
0,0.2,0.8,0.116652,0.522709,0.941745
0,0.2,0.9,0.110263,0.578812,0.957279
0,0.2,1,0.104182,0.632952,0.968808
0,0.3,0,0.21252,0.141711,0.559127
0,0.3,0.1,0.202081,0.171626,0.637405
0,0.3,0.2,0.192029,0.206337,0.709018
0,0.3,0.3,0.182363,0.245983,0.771556
0,0.3,0.4,0.173079,0.29046,0.82399
0,0.3,0.5,0.164173,0.339359,0.866472
0,0.3,0.6,0.155639,0.391944,0.899946
0,0.3,0.7,0.14747,0.447161,0.925747
0,0.3,0.8,0.13966,0.503712,0.945299
0,0.3,0.9,0.132198,0.56017,0.959926
0,0.3,1,0.125078,0.615112,0.970762
0,0.4,0,0.249103,0.132711,0.575501
0,0.4,0.1,0.237409,0.161082,0.652678
0,0.4,0.2,0.226097,0.19416,0.722587
0,0.4,0.3,0.215173,0.232152,0.783101
0,0.4,0.4,0.204637,0.27504,0.833457
0,0.4,0.5,0.194489,0.322523,0.874003
0,0.4,0.6,0.184728,0.373975,0.905794
0,0.4,0.7,0.175349,0.428445,0.930204
0,0.4,0.8,0.16635,0.484705,0.948648
0,0.4,0.9,0.157724,0.541355,0.962415
0,0.4,1,0.149465,0.596957,0.972597
0,0.5,0,0.289667,0.124199,0.59171
0,0.5,0.1,0.27677,0.151068,0.667642
0,0.5,0.2,0.264233,0.182537,0.735759
0,0.5,0.3,0.252067,0.218872,0.794218
0,0.5,0.4,0.240277,0.260138,0.842512
0,0.5,0.5,0.22887,0.306135,0.881168
0,0.5,0.6,0.21785,0.356348,0.911335
0,0.5,0.7,0.207217,0.409931,0.934413
0,0.5,0.8,0.196973,0.465741,0.951802
