% # columns="iteration, evaluation, void, void, void, xmean", seed=79710, Mon Jan 15 12:14:22 2018, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 11 0 0 0 10.0831879312 6.29435225667 4.42243289724 0.287900434828 3.81281455111 3.81224954858 5.12775083093 8.53818623298 1.32796890069 -1.65259554699 3.69308203907 3.57960200136 4.35591355718 9.48825111433
2 22 0 0 0 9.84398991885 6.39147485254 2.25658433462 -0.0686799957341 4.70018579115 3.38371764765 7.24560828097 9.37267690644 2.18558940747 -4.92954393597 3.06012669919 3.2520352458 4.98013181438 10.1881305324
3 33 0 0 0 8.28543411491 5.16648296885 3.08083255406 -0.339566146808 3.72781886842 3.30886479908 7.84593486912 10.6288892084 3.02431154298 -7.21007459999 4.41951568126 2.35475634375 4.39878869994 9.78613827562
4 44 0 0 0 6.86006202781 4.55738918399 3.23087620575 -1.90702096262 6.0124929846 2.31673573543 8.80452082879 12.3463522479 3.81094253948 -8.82947273273 4.20708117904 2.24002122184 5.49158684006 7.98047516536
5 55 0 0 0 7.16427855219 4.18109536244 4.41854142238 -1.77982209158 6.9156283047 1.92546762404 7.15704351541 11.7190847668 4.08178318922 -7.40015451832 4.15116539691 2.96093140961 5.2203933444 9.66987221702
6 66 0 0 0 6.09090120725 4.50670012997 3.58606594783 -2.05341680832 7.36359115736 0.338822116336 7.69425779068 11.8442360894 3.82782686287 -7.74476962141 5.39845226635 3.43340757782 7.2101449061 7.852373245
7 77 0 0 0 6.28924625063 1.64190631373 4.49877863347 -1.10115730553 6.84281225919 -0.286131994248 7.35114406216 12.8412533009 4.40974826844 -8.51074037195 5.9630156825 4.59976819089 6.56589502515 9.34108685476
8 88 0 0 0 5.93149958391 1.98051013589 5.31222843466 1.37077909675 7.54388378189 -1.25252252909 8.01230131242 11.9252693417 5.63064442185 -6.75870887301 6.66519534073 5.53362399794 6.68601861052 8.80638509283
9 99 0 0 0 4.56834878293 0.951171217514 4.54983592854 2.08634840431 5.62656770489 -0.428360416742 8.54152542637 12.5179731724 4.68822894935 -8.12124156968 6.17281973201 4.70011533942 6.04266357552 8.84338575591
10 110 0 0 0 6.08912604418 0.65659675467 6.61919628619 1.62714762318 5.11729818551 -0.961804856311 7.82540926037 12.0446506157 4.17669856925 -5.95900425087 5.33542682833 4.9860309944 6.41296181704 7.28049053429
